timestamp,device_id,ax,ay,az,motion_magnitude,rssi,ip,data_type,sensorSource,total_acceleration,ax_abs,ay_abs,az_abs,hour,minute,second
2026-04-13 06:05:13.275000+00:00,ID_001,10.75,0.71,2.04,10.96486206023587,-52,::ffff:192.168.1.6,natural,accelerometer,10.96486206023587,10.75,0.71,2.04,6,5,13
2026-04-13 06:05:15.436000+00:00,ID_001,10.24,0.12,1.69,10.379214806525589,-56,::ffff:192.168.1.6,natural,accelerometer,10.379214806525589,10.24,0.12,1.69,6,5,15
2026-04-13 06:05:17.489000+00:00,ID_001,10.71,0.59,1.61,10.846395714706338,-55,::ffff:192.168.1.6,natural,accelerometer,10.846395714706338,10.71,0.59,1.61,6,5,17
2026-04-13 06:05:19.504000+00:00,ID_001,10.55,-0.27,1.61,10.675556191599576,-53,::ffff:192.168.1.6,natural,accelerometer,10.675556191599576,10.55,0.27,1.61,6,5,19
2026-04-13 06:05:21.594000+00:00,ID_001,10.24,-1.37,2.98,10.75243693308638,-58,::ffff:192.168.1.6,natural,accelerometer,10.75243693308638,10.24,1.37,2.98,6,5,21
2026-04-13 06:05:23.643000+00:00,ID_001,8.9,0.51,2.94,9.386889793749578,-50,::ffff:192.168.1.6,natural,accelerometer,9.386889793749578,8.9,0.51,2.94,6,5,23
2026-04-13 06:05:25.692000+00:00,ID_001,10.24,0.0,1.14,10.303261619506708,-61,::ffff:192.168.1.6,natural,accelerometer,10.303261619506708,10.24,0.0,1.14,6,5,25
2026-04-13 06:05:27.985000+00:00,ID_001,8.67,0.0,1.26,8.761078700708035,-71,::ffff:192.168.1.6,natural,accelerometer,8.761078700708035,8.67,0.0,1.26,6,5,27
2026-04-13 06:05:30.007000+00:00,ID_001,10.12,-1.92,2.04,10.50059045958845,-68,::ffff:192.168.1.6,natural,accelerometer,10.50059045958845,10.12,1.92,2.04,6,5,30
2026-04-13 06:05:31.987000+00:00,ID_001,9.41,-1.26,2.31,9.770967198798694,-63,::ffff:192.168.1.6,natural,accelerometer,9.770967198798694,9.41,1.26,2.31,6,5,31
2026-04-13 06:05:34.270000+00:00,ID_001,9.38,-1.88,2.08,9.790056179614089,-64,::ffff:192.168.1.6,natural,accelerometer,9.790056179614089,9.38,1.88,2.08,6,5,34
2026-04-13 06:05:36.339000+00:00,ID_001,9.57,0.08,1.88,9.753240487140673,-71,::ffff:192.168.1.6,natural,accelerometer,9.753240487140673,9.57,0.08,1.88,6,5,36
2026-04-13 06:05:38.356000+00:00,ID_001,8.28,0.86,1.8,8.516924327478787,-66,::ffff:192.168.1.6,natural,accelerometer,8.516924327478787,8.28,0.86,1.8,6,5,38
2026-04-13 06:05:40.384000+00:00,ID_001,10.04,-1.29,1.18,10.191079432523328,-66,::ffff:192.168.1.6,natural,accelerometer,10.191079432523328,10.04,1.29,1.18,6,5,40
2026-04-13 06:05:43.126000+00:00,ID_001,9.1,-0.71,1.49,9.248470143758912,-64,::ffff:192.168.1.6,natural,accelerometer,9.248470143758912,9.1,0.71,1.49,6,5,43
